N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
142,KODEX 200선물인버스2X,"2,155",70,-3.15%,0,"21,968","1,019,400",4.07,"105,394,962",N/A,N/A,
143,TIGER 200,"39,910",580,+1.47%,0,"21,871","54,800",0.88,"719,174",N/A,N/A,
144,하이트진로,"31,000",650,+2.14%,"5,000","21,741","70,134",4.06,"150,912",42.23,8.23,
145,현대위아,"78,100",900,+1.17%,"5,000","21,239","27,195",6.34,"72,763",58.20,1.96,
146,영원무역,"47,100",0,0.00%,500,"20,871","44,311",28.04,"49,157",9.05,8.03,
147,한샘,"88,600",0,0.00%,"1,000","20,851","23,534",16.39,"52,793",26.07,10.83,
148,휠라홀딩스,"33,500",950,+2.92%,"1,000","20,352","60,752",43.56,"262,758",8.65,10.94,
149,더존비즈온,"66,300",200,+0.30%,500,"20,144","30,383",39.57,"87,585",32.45,15.09,
150,롯데정밀화학,"75,600","2,300",+3.14%,"5,000","19,505","25,800",22.23,"73,219",4.58,12.65,
151,농심,"320,500","4,000",+1.26%,"5,000","19,495","6,083",12.70,"7,566",18.26,7.50,
152,일진하이솔루스,"53,600","1,700",+3.28%,500,"19,464","36,313",3.04,"83,480",100.00,34.27,
153,효성,"91,500",700,+0.77%,"5,000","19,280","21,071",8.13,"14,890",4.98,-2.26,
154,코오롱인더,"69,400","2,300",+3.43%,"5,000","19,098","27,519",19.17,"136,408",10.77,9.70,
155,두산,"115,500","4,500",+4.05%,"5,000","19,085","16,524",10.24,"27,093",-66.53,-34.34,
156,TIGER 미국나스닥100,"84,495",945,+1.13%,0,"18,606","22,020",0.01,"88,548",N/A,N/A,
157,KODEX 레버리지,"23,845",710,+3.07%,0,"18,122","76,000",2.60,"12,124,096",N/A,N/A,
158,TIGER MSCI Korea TR,"16,125",155,+0.97%,0,"18,108","112,300",14.25,608,N/A,N/A,
159,LS,"55,200","1,200",+2.22%,"5,000","17,774","32,200",13.88,"37,079",6.94,3.94,
160,대웅,"29,900",350,+1.18%,500,"17,384","58,142",4.41,"22,316",16.46,15.10,
161,현대백화점,"74,100","1,100",+1.51%,"5,000","17,341","23,402",17.97,"33,239",11.21,1.65,
162,한미반도체,"35,000",550,+1.60%,200,"17,311","49,460",6.27,"130,641",20.81,21.03,
163,JB금융지주,"8,700",10,-0.11%,"5,000","17,138","196,983",42.08,"304,009",3.59,10.06,
164,동국제강,"17,850",200,+1.13%,"5,000","17,035","95,433",22.52,"341,156",3.77,3.35,
165,오뚜기,"454,000","1,500",+0.33%,"5,000","16,671","3,672",11.65,"1,210",15.07,7.93,
166,LS ELECTRIC,"54,900",800,+1.48%,"5,000","16,470","30,000",17.82,"39,910",20.33,6.15,
167,대웅제약,"142,000",500,+0.35%,"2,500","16,453","11,587",6.46,"8,927",142.57,2.38,
168,현대엘리베이,"40,250",350,+0.88%,"5,000","16,428","40,815",28.47,"59,010",25.93,9.78,
169,KODEX 단기채권,"103,125",5,0.00%,0,"16,393","15,896",0.00,"13,771",N/A,N/A,
170,DGB금융지주,"9,640",40,-0.41%,"5,000","16,306","169,146",48.90,"321,020",3.44,6.93,
171,한전KPS,"36,200",350,+0.98%,200,"16,290","45,000",6.69,"99,855",13.48,8.23,
172,대한전선,"1,900",225,+13.43%,500,"16,273","856,473",2.70,"53,307,275",48.72,0.92,
173,신풍제약,"30,400","1,350",+4.65%,500,"16,107","52,985",10.27,"650,977","5,066.67",1.72,
174,동원시스템즈,"53,500","1,600",+3.08%,"5,000","15,616","29,188",13.24,"31,617",24.23,10.97,
175,케이카,"32,300","4,000",+14.13%,500,"15,532","48,087",18.39,"591,404",53.65,15.11,
176,KODEX 삼성그룹,"9,865",160,+1.65%,0,"15,429","156,400",0.19,"68,980",N/A,N/A,
177,PI첨단소재,"52,100","1,300",+2.56%,500,"15,300","29,366",12.90,"69,372",26.15,15.62,
178,명신산업,"28,900","1,000",+3.58%,500,"15,164","52,470",2.44,"223,127",-12.53,-67.39,
179,LIG넥스원,"68,200","1,700",+2.56%,"5,000","15,004","22,000",6.92,"132,380",15.90,8.86,
180,한일시멘트,"21,400",800,-3.60%,500,"14,822","69,262",2.82,"579,666",14.10,N/A,
181,에스엘,"30,650",500,+1.66%,500,"14,774","48,203",15.13,"60,184",10.16,4.74,
182,KODEX 종합채권(AA-이상)액티브,"107,520",210,+0.20%,0,"14,425","13,416",0.00,"37,033",N/A,N/A,
183,HDC현대산업개발,"21,850","3,900",-15.15%,"5,000","14,401","65,907",10.32,"6,841,884",4.75,8.85,
184,아이에스동서,"46,400","1,400",+3.11%,500,"14,334","30,893",5.07,"70,357",26.58,10.92,
185,아시아나항공,"19,050",350,+1.87%,"5,000","14,175","74,412",7.61,"102,584",-3.28,-43.83,
186,한국앤컴퍼니,"14,850",150,+1.02%,500,"14,098","94,935",9.58,"52,035",5.70,5.08,
187,TIGER 단기통안채,"100,525",5,0.00%,0,"13,808","13,736",0.89,"6,667",N/A,N/A,
188,DL,"65,800",0,0.00%,"5,000","13,789","20,956",12.04,"23,809",2.09,11.84,
189,현대두산인프라코어,"6,910",30,+0.44%,"1,000","13,643","197,435",10.29,"573,516",5.91,6.47,
190,롯데렌탈,"36,600",200,+0.55%,"5,000","13,408","36,634",1.51,"47,608",12.69,6.73,
191,ESR켄달스퀘어리츠,"6,250",30,+0.48%,"1,000","13,318","213,089",32.20,"60,541",164.47,1.14,
192,롯데리츠,"5,430",40,-0.73%,500,"13,193","242,969",9.60,"114,985",33.94,1.68,
193,롯데칠성,"142,000","4,500",+3.27%,500,"13,176","9,279",9.03,"19,093",16.78,-1.00,
194,금호타이어,"4,580",65,+1.44%,"5,000","13,157","287,260",4.19,"217,579",-18.32,-6.74,
195,KODEX 2차전지산업,"22,420","1,025",+4.79%,0,"13,116","58,500",1.73,"1,070,296",N/A,N/A,
196,태광산업,"1,155,000","20,000",+1.76%,"5,000","12,860","1,113",5.86,189,5.07,3.26,
197,코스모신소재,"42,250","1,700",+4.19%,"1,000","12,712","30,087",6.54,"212,018",54.17,7.16,
198,진원생명과학,"16,400",200,+1.23%,"1,000","12,707","77,479",12.61,"399,977",-49.55,-30.43,
199,TIGER 미국테크TOP10 INDXX,"12,720",115,+0.91%,0,"12,637","99,350",0.20,"1,002,477",N/A,N/A,
200,TIGER 2차전지테마,"22,305",950,+4.45%,0,"12,457","55,850",0.57,"607,399",N/A,N/A,
